# Engine name: 
# Thu Sep 4 20:43:00 2025
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.6000    188.0000      3.0000     10.0000      0.0000   1210.5465     15.5109      1.2533      1.2038   1245.5258    179.0465    204.7372      1.4097      1.6120      1.0000 
     0.6000    195.0000      3.0000     10.0000      0.0000   1212.6087     15.5215      1.2539      1.2034   1246.2328    180.0729    205.5420      1.4170      1.6174      1.0000 
     0.6000    202.0000      3.0000     10.0000      0.0000   1214.6188     15.5318      1.2545      1.2031   1246.9160    181.0560    206.3148      1.4240      1.6226      1.0000 
     0.6000    209.0000      3.0000     10.0000      0.0000   1216.5793     15.5419      1.2551      1.2027   1247.5768    181.9990    207.0579      1.4306      1.6276      1.0000 
     0.6000    216.0000      3.0000     10.0000      0.0000   1218.4928     15.5517      1.2556      1.2024   1248.2168    182.9049    207.7733      1.4370      1.6324      1.0000 
     0.6000    223.0000      3.0000     10.0000      0.0000   1220.3616     15.5614      1.2562      1.2021   1248.8371    183.7763    208.4628      1.4431      1.6370      1.0000 
     0.6000    230.0000      3.0000     10.0000      0.0000   1222.1878     15.5708      1.2568      1.2019   1249.4390    184.6155    209.1283      1.4490      1.6414      1.0000 
     0.6000    237.0000      3.0000     10.0000      0.0000   1223.9733     15.5800      1.2573      1.2016   1250.0236    185.4247    209.7712      1.4547      1.6457      1.0000 
     0.6000    244.0000      3.0000     10.0000      0.0000   1225.7200     15.5890      1.2579      1.2014   1250.5917    186.2059    210.3929      1.4602      1.6498      1.0000 
     0.6000    251.0000      3.0000     10.0000      0.0000   1227.4297     15.5979      1.2584      1.2012   1251.1444    186.9608    210.9948      1.4654      1.6538      1.0000 
     0.6000    258.0000      3.0000     10.0000      0.0000   1229.1039     15.6065      1.2589      1.2010   1251.6825    187.6911    211.5779      1.4705      1.6577      1.0000 
     0.6000    265.0000      3.0000     10.0000      0.0000   1230.7441     15.6151      1.2594      1.2008   1252.2066    188.3981    212.1433      1.4754      1.6614      1.0000 
     0.6000    272.0000      3.0000     10.0000      0.0000   1232.3518     15.6234      1.2599      1.2006   1252.7176    189.0832    212.6921      1.4802      1.6650      1.0000 
     0.6000    279.0000      3.0000     10.0000      0.0000   1233.9283     15.6316      1.2604      1.2004   1253.2160    189.7477    213.2251      1.4848      1.6685      1.0000 
     0.6000    286.0000      3.0000     10.0000      0.0000   1235.4749     15.6396      1.2609      1.2003   1253.7025    190.3927    213.7431      1.4893      1.6719      1.0000 
     0.6000    293.0000      3.0000     10.0000      0.0000   1236.9927     15.6476      1.2614      1.2001   1254.1776    191.0192    214.2470      1.4936      1.6752      1.0000 
     0.6000    300.0000      3.0000     10.0000      0.0000   1238.4828     15.6553      1.2619      1.2000   1254.6419    191.6283    214.7374      1.4978      1.6785      1.0000 
     0.6000    307.0000      3.0000     10.0000      0.0000   1239.9463     15.6630      1.2624      1.1998   1255.0958    192.2207    215.2150      1.5019      1.6816      1.0000 
     0.6000    314.0000      3.0000     10.0000      0.0000   1241.3841     15.6705      1.2628      1.1997   1255.5398    192.7973    215.6804      1.5059      1.6846      1.0000 
